URI,playlist_title,track_title,artist_name
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Playground Love,"Air, Gordon Tracks"
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Hold On,Alabama Shakes
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Tessellate,alt-J
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Unfucktheworld,Angel Olsen
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Hope There's Someone,Antony and the Johnsons
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Neighborhood #1 (Tunnels),Arcade Fire
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Web in Front,Archers Of Loaf
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Breezeblocks,alt-J
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Heart It Races,Architecture In Helsinki
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,You Are My Sister,Antony and the Johnsons
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Wake Up,Arcade Fire
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Fluorescent Adolescent,Arctic Monkeys
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Goldfinger,Ash
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,One Crowded Hour,Augie March
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Fistful Of Love,Antony and the Johnsons
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Rebellion (Lies),Arcade Fire
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,I Bet You Look Good On The Dancefloor,Arctic Monkeys
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Girl From Mars,Ash
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,There Is No Such Place,Augie March
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Since I Left You,The Avalanches
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,No Cars Go,Arcade Fire
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Fake Tales Of San Francisco,Arctic Monkeys
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,You're Gorgeous,Babybird
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Asleep In Perfection,Augie March
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,It's Nice To Be Alive,Ball Park Music
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,The Suburbs,Arcade Fire
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,No One's Gonna Love You,Band of Horses
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Laura,Bat For Lashes
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Master Of None,Beach House
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,All I Want Is You,Ball Park Music
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Loser,Beck
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,The Funeral,Band of Horses
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Chicken Payback,The Bees
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Myth,Beach House
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Elephant Gun,Beirut
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Sexx Laws,Beck
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,The Great Salt Lake,Band of Horses
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,The Boy With The Arab Strap,Belle & Sebastian
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Zebra,Beach House
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Nantes,Beirut
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Debra,Beck
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Cigarettes Will Kill You,Ben Lee
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,"Step Into My Office, Baby",Belle & Sebastian
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,California Stars,"Billy Bragg, Wilco"
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Postcards from Italy,Beirut
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Tropicalia,Beck
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Nothing Much Happens,Ben Lee
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,"Piazza, New York Catcher",Belle & Sebastian
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Human Behaviour,Björk
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Whatever Happened To My Rock 'N' Roll (Punk Song),Black Rebel Motorcycle Club
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Devils Haircut,Beck
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,"Something Borrowed, Something Blue",Ben Lee
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Another Sunny Day,Belle & Sebastian
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Helicopter,Bloc Party
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Spread Your Love,Black Rebel Motorcycle Club
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Slight Return,The Bluetones
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Tender,Blur
37i9dQZF1DX2NwU6NbPUdo,Indie Classics,Funny Little Frog,Belle & Sebastian
